generic_id,created_at,complaint_status_id,voteup_count,city_id,ward_id,category_id,sub_category_id,civic_agency_id,title,description,location
W0610C165456,"Water problem in our area.",3,0,2,951,23,182,0,"17-07-2016 07:20","Frequently water issue","Shivaji Park, Mumbai, Maharashtra, India"
W02200C165646,"Plzzzz do something",3,3,2,945,6,155,22,"18-07-2016 01:37","Garbage full in pipeline","Mumbai, Maharashtra 400078, India"
W01200C165672,"The mangroves below our building which somehow are still surviving as the last patch of green are daily used as toilets for local slums and passer by pedestrians...they say they are many and there aren\'t enough Bmc toilets around so they will continue this as their BIRTH RIGHT ... And that\'s the story around @ saving our planet",3,0,2,937,6,155,22,"18-07-2016 08:20","Toilets in the greens","Yugdharma Towers, Goregaon - Mulund Link Rd, Prem Nagar, Goregaon West, Mumbai, Maharashtra 400104, India"
W01760C165957,"Dustbins are kept on locations but not maintained properly and are located middle of the road.",9,0,2,946,6,155,22,"19-07-2016 00:44","Dustbin not properly maintained","Sangharsh Nagar, Chandivali, Powai, Mumbai, Maharashtra, India"
W01760C165958,"When our area established before 10 years, builder also planted light poles at side of road, but yet no single light attached to it. And some poles are started falling down.",2,0,2,946,15,62,22,"19-07-2016 00:47","No lights attached only poles standed from years","Sangharsh Nagar, Chandivali, Powai, Mumbai, Maharashtra, India"
W01420C166467,"Hello since months we have been suffering from foul odour coming out of garbage which has been there near my society it is difficult to walk on the streets with such garbage around it stinks so badly hardly you can even tolerate..so its my request to clean up it as early...even there are cows in my area but when i see them eating in that garbage in plastic bags it breaks my heart..i already lodged compalint in BMC and they said they have cleaned up but thats not the case its still there and nothing has been done properly.",3,5,2,935,6,155,22,"20-07-2016 19:39","Lifting up garbage and cleaning footpaths","Sector 2 Charkop, Kandivali West, Mumbai, Maharashtra 400067, India"
W01100C166506,"Plenty of  spots in seven bungalows to versova area are full of filthy n stinky garbage.Kindly do something asap.",3,7,2,938,6,155,22,"21-07-2016 09:03","Filthy Garbage","Panch Marg, Jeet Nagar, Versova, Andheri West, Mumbai, Maharashtra 400061, India"
W0900C166600,"Shield and rebbies dropped at garbage platform also Datak casting employee throw garbage on platform instead of garbage box",3,1,2,943,6,155,22,"21-07-2016 12:49","Shield and rebbies dropped at garbage platform","Chimatpada, Marol, Andheri East, Mumbai, Maharashtra 400059, India"
W02080C166649,"So much garbage and less garbage storage",3,6,2,945,6,155,22,"21-07-2016 16:31",Garbage,"Sainath Nagar, Powai, Mumbai, Maharashtra 400076, India"
W01680C166795,"Highway is like a kides garden... and a new driver can never know which part of road has deep....\n\nAnd a person haveing tambaco and splits out of the public bus",3,19,2,946,15,66,22,"22-07-2016 10:32","Highway potholes issue","Mumbai, Maharashtra, India"
W0830C167029,"GARBAGE IS BEING DUMPED ON ALL 3 SIDES OF MY HOME FRONT, LEFT & RIGHT, NO ONE IS INTERESTED TO CLEAN/STOP IT.",4,7,2,942,6,155,22,"23-07-2016 10:51","GARBAGE DUMPED","Golibar, Khar East, Mumbai, Maharashtra 400055, India"
W0870C167425,"NEW AGRIPADA , SANTACRUZ EAST WARD NO. 81 KE IDHAR EK SAGAR WINE SHOP HAI. USKE SAMKE HI LOK DARU PITE HAI . AUR WAHA PE DO MACCHI FRY WALE BAITHATE HAI . WAHA SE CHALTE WAQT O SAB AAKHA ME CHALA JATA HAI .. AUR EK IMPORTANT BAAT YE HAI KI VAHA SE LEADIES KO JANE ME BAHUT PARESHANI HOTI HAI SAB WAHA PE DARU PIYE HUYE GENTS LOK HOTE HAI .. YE AGAR AAPAKE DWARA BAND HO SAKATA HAI TO BAHOTI ACCHA HO JAYEGA\n\nTHANKS,",3,8,2,942,6,155,22,"25-07-2016 10:01","GARBAGE AND BEHIND WINE SHOP ROAD","Mumbai, Maharashtra 400055, India"
W0610C167583,"I am staying in this area since last 55 years and am 86 years old and my problem is that even though Shivaji Park area is a silence zone but stray dogs keep barking whole night and one can not get sleep. I find some ladies come in their car with lots of food for the stray dogs and feed them during afternoon time. Stray Dogs enjoy food brought in the car so why they should leave this place. BMC has stopped even catching them. The nuisance is increasing day by day. Any action? I shall send the photo of the dogs next time. thanks",1,1,2,951,19,77,22,"25-07-2016 20:28","Dog barking nuisance during night.","Keluskar Rd S, Dadar West, Shivaji Park, Mumbai, Maharashtra 400028, India"
W01880C168122,"Roads are filled with pot-holes. It\'s difficult to drive a car on such roads. Driving a two-wheeler is out of question on such roads. On top of that, to make situation even worse is that vehicles are illegally parked on road side which makes it even more difficult to move around & the near by police station or traffic officials don\'t give a dam about it. But they are eager to get money by catching hold of people on two-wheeler without helmets & they turn a blind eye to such vehicles parked on road side. The complete stretch from Trombay to New Mandala is a pain to drive & the government is ignoring these problems that we face ever since. Also the roads are so dirty & filled with garbage etc. These politicians are quick to fall at our feet when they want votes but after that they just vanish into thin air & are no where to be seen. I hope these problems are resolved at the earliest",2,4,2,948,15,67,22,"28-07-2016 09:39","Condition of roads have become worse since monsoon","VN Purav Marg, Upper Trombay, Trombay, Mumbai, Maharashtra 400088, India"
W01230C168459,"The roads are actually missing between Kandivali to Dahisar. Please get them back.",2,22,2,937,15,67,22,"29-07-2016 12:47","Bad Roads","Oberoi Garden City, Off Western Express Highway, Goregaon East, Dindoshi, Yashodham, Goregaon, Mumbai, Maharashtra 400063, India"
W01590C168464,"Everyone knows about the traffic issue at Dahisar Check Naka. Why are the authorities turning a blind eye to the traffic jams created because of the Toll naka. If the booth cannot be removed at least provide a solution to keep the traffic moving freely.",2,7,2,933,21,84,25,"29-07-2016 12:57","Dahisar Cgechk Naka","Diamond Industrial Estate, Dahisar East, Mumbai, Maharashtra 400068, India"
W01470C168470,"There are lot of potholes in WEH. I reside in Borivali near National Park & daily i commute to Andheri JB Nagar. It took 1 hour+ time to travell around 16 km. The roads are really mess now a days. they are fully surrounded by Potholes. From Borivali to Andheri there might be around 1000 Potholes which ruins every biker & car owners life.\nPls Do some good work BMC......The work which this ppl does is really pathetic & the quality of material they use to build these road are of very low or you can say very cheap in quality.",3,8,2,935,15,66,22,"29-07-2016 13:20","Life in Potholes !!!!","Singh Agri Estate, Kandivali East, Mumbai, Maharashtra 400101, India"
W02100C168474,"These holes are very dangerous and has caused many accident due to this. Location. When you drive from Gandhinagar to IIT Powai road below gandhi nagar bridge.",3,7,2,945,15,66,22,"29-07-2016 13:33","There are many pitholes and they are not getting fixed.","Gandhi Nagar, Vikhroli West, Mumbai, Maharashtra 400083, India"
W01470C168485,"Thakur Ground at Thakur Village Kandivali East has become the biggest polluter of noise in Thakur Village.The ground is maintained by Thakur Group of Colleges politically very powerful in the locality.The ground is given on hire\nand throughout the day the blaring of loud speakers have made life miserable for the residents.Playing of filthy film songs,blowing of horns, trumpets and drums have become a everyday affair with the Samta Nagar Police Station and RH South Ward authorities turning a blind eye to the complaints of the residents.As if to mock at us they have now started night cricket with running commentary making even our nights miserable.\nThis in spite of the fact that it is a wholly residential area with a school within 100 mtrs of the ground.All kinds of structures have also comeup on the ground.No solution seems to be forthcoming with residents having resigned to fate.",3,8,2,935,11,46,26,"29-07-2016 14:19","Noise Pollution","Thakur Village, Kandivali East, Mumbai, Maharashtra 400101, India"
W0810C168694,"The Entire western express highway is riddled with potholes causing traffic congestion all along the roads.. the daily commute which was 45 Mins has now increased to 1Hrs 15mins only because  of bad roads.. ( North Bound) Bandra... Santa cruz... Andheri.. Jogeshwari.. Goregaon.. Kandivali.. Borivali.. Dahisar!!",3,29,2,942,15,67,22,"30-07-2016 17:30","Pathetic road conditions leading to National resource waste","B-47, M D Abasaheb Shinde Marg, Government Colony, Bandra East, Mumbai, Maharashtra 400051, India"
W01220C168699,"Now you no need to go to Himalaya to experience hard tough roads of leh ladakh you can get that exprience in our own western express highway",3,18,2,937,15,67,22,"30-07-2016 17:41","Western &quot;Slower&quot; Highway","Western Express Hwy, Mumbai, Maharashtra, India"
W01450C168733,"The road from Thakur Village to highway is full of potholes. Especially the road from Hanuman Temple, and Sai Baba temple.",3,0,2,935,15,66,22,"31-07-2016 00:59",Potholes,"65-66, Samta Nagar Rd, Kanakiya, Thakur Village, Kandivali East, Mumbai, Maharashtra 400101, India"
W0960C168734,"Horrible craters in Arrey milk colony",3,12,2,943,15,66,22,"31-07-2016 01:06","Horrible craters (pothole)","19, Ganesh Nagar, Goregaon, Mumbai, Maharashtra 400065, India"
W02170C169101,"The LBS roads from Bhandup Station to Shangrila is filled with pot holes and shops after the signal which lead to continuous traffic issues and a bad driving experience.",2,13,2,945,15,67,22,"1/8/16 14:46","LBS Bottle Neck and POtholes","12, Lal Bahadur Shastri Marg, Dina Bama Estate, Bhandup West, Mumbai, Maharashtra 400078, India"
W01040C169118,"There is this road name as subhash road in jogeshwari east, as more holes then on moon, not just in monsoon season its the story of all waether, i never seen that raod in good condition.",3,13,2,943,15,66,22,"1/8/16 15:57","Pothole complaint","Subhash Nagar Rd, Jogeshwari East, Mumbai, Maharashtra 400060, India"
W01350C169356,"Worst roads near bhujale talav. request to make the roads better",3,9,2,936,15,66,22,"2/8/16 14:51","Worst roads","Vijay Kesar CHS, Gaothan Rd, Somwari Bazar, Malad West, Mumbai, Maharashtra 400064, India"
W0960C169718,"Mahakali caves road is a complete mess and its in this condition since more than 1year. The garbage is all on the road. Cattles are walking on the same narrow road. Footpath has been occupied by hawkers. Pedestrians are walking on the road. Vehicle has to move very carefully and slowly. There\'s unnecessary pathetic traffic during peak times. The contractors have made some portion of road but left the other side and most part of it in complete mess. No Govt. officials are bothered about their constituency. Doesn\'t look I\'m living in an International city.",3,14,2,943,15,67,22,"3/8/16 22:49","Complete messed up road.","Mahakali Caves Rd, Andheri East, Mumbai, Maharashtra, India"
W02150C169835,"Many potholes",2,9,2,945,15,66,22,"4/8/16 12:11",Potholes,"Farid Nagar, Bhandup West, Mumbai, Maharashtra 400078, India"
W01160C169896,"Jogeshwari east subhash road ,there is no road as we can see only potholes every where on subhash road ..",3,7,2,938,15,66,22,"4/8/16 15:38",Potholes,"Station Rd, Subhash Nagar, Jogeshwari East, Mumbai, Maharashtra 400060, India"
W02140C169959,"We have a 90 feet road totally occupied by tourist parking vehicles in center of the road\nonly two ways in the corner left like 20 feet for local vehicles to pass\neven all the internal roads are filled with parked vehicle from other areas & even from outside location",3,9,2,945,21,84,25,"4/8/16 17:44","Double parking","89, Hanuman Mandir Rd, Datar Colony, Kanjurmarg East, Mumbai, Maharashtra 400042, India"
W0100C170196,"Starting from Bhendi Bazaar to Metro, there are countless potholes.",3,24,2,957,15,66,22,"5/8/16 17:19",Potholes,"Kalbadevi, Mumbai, Maharashtra, India"
W02080C170203,"Horrible conditions of road in Aarey colony and in Mayur Nagar",2,14,2,945,15,66,22,"5/8/16 17:46","The condition of roads in Aarey colony and road leading to Royal Palms is PATHETIC!!!!What the hell ","Mayur Nagar, Morarji Nagar, Powai, Mumbai, Maharashtra, India"
W01130C170430,"Light Towers are erected ahead of Traffic Signals thus causing hindrance in viewing of traffic signals at Juhu Lane & Juhu Circle",3,5,2,938,15,62,22,"6/8/16 17:39","Light Towers causing hindrance","CD Barfiwala Road, Andheri West, Mumbai, Maharashtra 400058, India"
W01720C170898,"Roads condition is vry bad in mumbai, Municipal Corporation is not taking any action to solve this issue.",3,77,2,946,15,66,22,"8/8/16 21:05","Potholes issue on road","Shamuddin Building, Magan Nathuram Rd, Jarimari, Sakinaka, Mumbai, Maharashtra 400072, India"
W01390C171033,"To whomsoever,\n\nThis is with concerns to the numerous potholes that keep increasing day by day, putting peoples lives in danger. I have tagged my residence, outside which there are more than 10-20 hazardous potholes, which collect dirty water as well due to construction sites in the vicinity.\n\nPlease lets put an end to this stupidity of the government screwing us over year after year. Lets put those tax payments in the right place.",3,9,2,936,15,66,22,"9/8/16 12:32","Numerous disastrous potholes will kill us soon.","Raj Castle CHS, D Monte Ln, Orlem, Kanchpada, Malad West, Mumbai, Maharashtra 400064, India"
W02180C171392,"The garbage bins at the entrance of the colony are always full people throws garbage around the bins that\'s why the entry point is becoming narrow and narrow day by day.Also there is one old scraped auto lying since years no one is looking at that.Vehicles parked by nearby service centre is also a cause to dirt.",3,1,2,945,6,155,22,"10/8/16 12:52","Overflow of garbage","Opp CEAT Tyres, Bhandup Village Rd, Industrial Area, Bhandup West, Mumbai, Maharashtra 400078, India"
W0700C171436,"There are locals who collect plastic garbage and burns openly. it released a lot of dark smoke around with smell n make the whole area smoky and suffocate. my request is to stop these practices. this plastic can be recycled. strict action is necessary",3,1,2,951,6,155,22,"10/8/16 15:40","Air pollution","Mahim - Sion Link Rd, Naya Nagar, Baba Saheb Ambedkar Nagar, Mahim, Mumbai, Maharashtra 400016, India"
W01000C171748,"Gatar overflow",3,4,2,943,6,155,22,"11/8/16 14:05",Garbej,"Old Kabrastan Road, MHADA Colony, Indira Nagar, Jogeshwari East, Mumbai, Maharashtra 400093, India"
W0590C172231,"Whenever passing by siddhivinayak temple while coming or going towards dadar station there is always conjestion of traffic. I take this route everyday and it is caused because of 3 reasons- 1. there is a petrol station at the junction where people want to pass through. 2. There are 4 lanes which are formed at the traffic light and all then have to become a single lane. 3. The biggest reason is that people want to be picked up and dropped of right at the entrance of the temple.\nBeing mumbai\'s most well-know and visited temple it surprises me that they do not have a pick up and drop point for vehicles.",3,0,2,951,21,84,25,"13-08-2016 20:15","Why cannot Siddhivinayak temple in Prabhadevi have a pick up &amp; drop area for vehicles?","S.K.Bole Marg, Prabhadevi, Prabhadevi, Mumbai, Maharashtra 400028, India"
W01380C174743,"The entire paver blocks laid between Malwani No. 1 bus stop & Kharodi (Infant Jesus Chapel) have come out & are in shambles with holes in them & slowing down traffic to a standstill. The worst part is that there are daily about 5 accidents involving 2 & 4 wheelers as well as pedestrians. The entire stretch has to be converted to a seamless cement road immediately without delay. I feel the BMC have purposely kept the road without cementing to continue taking bribes with constant road repairs.",3,6,2,936,15,67,22,"24-08-2016 20:50","Paver Blocks ...Killers on Marve Road","1, Marve Rd, BMC Colony, Rathodi, Malad West, Mumbai, Maharashtra 400095, India"
W01970C177245,"I live in Ghatkopar East. \nR.B. Mehta road (near Vikrant Circle) & the internal road near Orbit Tower at Chedda Nagar need urgent attention.\nConcrete roads need to be made instead of the cement blocks that are used.",3,5,2,947,15,67,22,"5/9/16 20:58","Bad road conditions","57-59, RB Mehta Marg, Sindhu Wadi, Ghatkopar East, Mumbai, Maharashtra 400077, India"
W0400C178232,"There are many garbage in my area. So plzzzzzz help to clean this",3,3,2,950,6,155,22,"12/9/16 14:28",Cleanness,"Wadala, Mumbai, Maharashtra 4000, India"
W01210C180785,"I AM REGULER USER OF THIS FLYOVER SINCE ITS START. IT HAS TWO LINE OUT PUT TOWEREDS SV ROAD BUT AT THE JUNCTION OF FLYOVER AND RAMMANDIR ROAD DUE TO WIDE OPEN SPACE TWO LANE CONVERT TO 6 TO 8 LANE OUT PUT WITHIN 50 TO 80 MTER DRIVE. \n\nFIRST WE NEED STOP LINE STRIK SO IF ANY ONE BROKE SIGNLE THIS AREA WILL PUNISED.\n\nWE NEED THERE ROUND ABOUT OF WITH CONTROL OF TWO LANE ONLY SO ALL SIDE WILL BE CANTROL AS WELL AS TRAFIC WILL CANTROL \n\nI NEED FEW VOLIANTER FOR THIS AREA AND I CAN MAKE IT HAPPEN WITHOUT HASSITATION WITH LITTLE AWARE NESS.",3,11,2,937,21,84,25,"27-09-2016 12:49","REQUIERED ROUND ABOUT AND STRIK STOP LINE WITH FINE","1381/A, Ram Mandir Cross Ln, Mahatma Jyotiba Phule Nagar, Jogeshwari West, Mumbai, Maharashtra 400104, India"
W01150C180848,"Dere is garbage disposed off out of my building n da issue is never resolved",3,6,2,938,6,155,22,"27-09-2016 16:28","Improper disposal of garbage","Sahakar Rd, Jogeshwari West, Mumbai, Maharashtra 400047, India"
W0900C180885,"There are many pot holes since  4 to 5 month. but no one is up to the pot holes. Traffic cause due to that road",3,4,2,943,15,66,22,"27-09-2016 20:09","Pot holes","Sutar Pakadi, Sahar Village, Vile Parle, Mumbai, Maharashtra 400047, India"
W01500C181203,"Bad patches of road creates a ruckus for travelers especially bikers who can fall anytime if they go beyond 20-30 kmph on this road. Still our government has been greedy enough to collect toll for such useless roads !\n\nThe whole WEH is a misery to the people and government is just testing the patience of common people.",2,11,2,934,15,67,22,"28-09-2016 23:17","Worst road to travel on WEH","C-101, Western Express Hwy, Chinchpada, Borivali East, Mumbai, Maharashtra 400066, India"
W01810C181817,"There are 15-20 stray dogs in entire Tilak Nagar. please help by getting vaccination done.",1,11,2,949,19,77,22,"2/10/16 12:22","Stary Dogs","Kambodhi CHS, 106, Rd Number 13, Tilak Nagar, Kurla East, Mumbai, Maharashtra 400089, India"
W01630C181818,"Bad road condition at the exit of SCLR towards Tilak Nagar railway station. Please help",2,34,2,946,15,67,22,"2/10/16 12:24","Bad roads at SCLR exit of Tilak Nagar","Santacruz – Chembur Link Rd, Mumbai, Maharashtra, India"
W01810C181819,"Mud with rain water gathered outside Building no 106, causing many Mosquitoes, rats and insects.. please help",3,15,2,949,6,155,22,"2/10/16 12:26","Mud with water gathered at the sides of foothpath","Kambodhi CHS, 106, Rd Number 13, Tilak Nagar, Kurla East, Mumbai, Maharashtra 400089, India"
W01170C182091,"There is no proper exit available for traffic moving north. From Fun Republic lane right turn has been closed since 6 yrs. Cars take detour and come out opp sab tv lane, and cause traffic jams to take right while disrupting link  rd traffic causing jams. But there is no alternative to going north. The behram baug road is very tiny and always in jams as a one way being used for two way traffic. \nKindly provide a solution.",3,21,2,938,21,374,0,"3/10/16 21:44","No exit available","Off New Link Road, Andheri West, Mumbai, Maharashtra 400047, India"
W01220C182115,"Western express highway is full poth holes starting from bandra to mira road . Driving during peak hours is like hell , our bastard and ass hole politicians, Bureaucrats , PWD officials , BMC, MMRDA Etc ..and various other agencies who are in charge of maintaining the highway are sleeping in there air conditioned offices.This corrupt bastard politicians beg for our votes and once elected they are busy making money ,, nexus of corrupt politicians and corrupt officials can be seen the way contractors bribe and make a third class roads. We are dealing with a eunuch govt. who is least bothered how people travel in this pothholes riddle roads...govt save this country from corrupt officials and corrupt politicians..",3,23,2,937,15,66,22,"4/10/16 1:27","Western highway is riddle with full of poth holes","Western Express Hwy, Mumbai, Maharashtra, India"
W01210C182175,"Lot of potholes.",3,15,2,937,15,66,22,"4/10/16 12:33","Potholes at the signal causing traffic snarls Jogeshwari","Ram Mandir Rd, Mahatma Jyotiba Phule Nagar, Jogeshwari West, Mumbai, Maharashtra 400104, India"
W01730C182179,"We have less of road and more of potholes across our city...  due to potholes traffic is getting worsen day by day... along with that if possible we need to get tied up with SPINE replacement projects(hospitals), so that we can enhance their business.. because in couple of years we gonna have a severe spine issues anyway....  sad to see the condition of my city were tax payers like me has to suffer daily... Our governing bodies should put sign board across the city saying that \""NO SENIORS and NO PREGNANT WOMEN on road especially during rainy, for any injuries, accidents and miscarriages, the System wont be responsible, travel at your own risk\""  :(",2,17278,2,946,15,66,22,"4/10/16 13:01","Potholes and manholes","Sakinaka, Mumbai, Maharashtra, India"
W0870C182202,"I have a bike and i face the problem of potholes on road i cant specify the place on every road in mumbai ther is atleast 1 to 3 or more potholes please solve this problem of mumbaikers",2,0,2,942,15,66,22,"4/10/16 14:58",Potholes,"Sankatha Pandey Chawl, Rd Number 5, Hanuman Tekdi, Santacruz East, Mumbai, Maharashtra 400055, India"
W0960C182345,Potholes,2,1,2,943,15,66,22,"5/10/16 9:24",Potholes,"Andheri East, Mumbai, Maharashtra, India"
W02130C182394,"Bad road after Bad road after Bhandup pumping flyover toward Mumbai direction.",3,4,2,944,15,67,22,"5/10/16 12:35","Bad road after Bhandup pumping flyover","Nahur East, Bhandup East, Mumbai, Maharashtra 400080, India"
W02140C182400,"Hi There are Big Pot holes at T junction on JVLR near Vikhroli which can cause a severe damage to biker if not seen pot holes are almost 0.06 inch deepand also on the railway bridge the road is pathetic causing lot of traffic in the morning and evening making it uneasy for commuters to reach office on time.",3,5,2,945,15,66,22,"5/10/16 13:18","Pot holes and pathetic road","A-147, JVLR, Nehru Nagar, Kanjurmarg East, Mumbai, Maharashtra 400042, India"
W030C182462,"Lot of potholes have been regularly spotted at the junction towards churchgate from Flora fountain and the road from Bombay Highcourt which leads to Churchgate station. They are deep and cause great damage to vehicles and make motorcyclists fall.",3,2,2,958,15,66,22,"5/10/16 17:02","Terrible potholes","Karmaveer Bhaurao Patil Marg, Mantralaya, Fort, Mumbai, Maharashtra 400032, India"
W0390C182603,"Dear sir/ma\'am,\n\nIts difficult to walk on dadar public bridge due No street lights on dadar public bridge ,\n\nPlease solve the same.\n\nRegards,\nUmesh lad\n9619328191",2,7,2,951,15,165,22,"6/10/16 12:01","No street lights on dadar public bridge","Pedestrian Overpass, Lokmanya Tilak Colony, Dadar East, Mumbai, Maharashtra 400013, India"
W0990C182629,"Roads not even in level after completion of road construction in few days not more than a week road washed off , it\'s so dangerous to ride bike on these roads. We can\'t even think of riding bike in rainy days.",3,20,2,943,15,66,22,"6/10/16 14:09","No use of new road","349, Western Express Hwy, Scindia Society, Bima Nagar, Andheri East, Mumbai, Maharashtra 400053, India"
W01220C182646,"Our BMC claims that only 32 potholes are left on mumbai road.\nthe road contractor should be given harsh punishment.\nJust after the 1st rainfall the roads are in pathetic condition. They have been washed away.\nand on the other hand our so called BMC is claiming to build the best road in mumbai. If this is the condition of the economic capital of our country I wonder which way our country is moving for development.\nHigh time make our country a better place babus. make it a heaven on earth and not hell.",3,9,2,937,15,67,22,"6/10/16 14:51","Pathetic road.","Western Express Hwy, Mumbai, Maharashtra, India"
W01290C182647,"Potholes in main road & main market",3,7,2,936,15,66,22,"6/10/16 15:07",Potholes,"Pimpripada Rd, Malad East, Mumbai, Maharashtra, India"
W0900C182721,"SO MANY STRAY DOGS\nNO ONE CAN ENTER THE BUILDING LIKE COURIER BOYS ETC",1,62,2,943,19,77,22,"6/10/16 18:27","STRAY DOG","Wing-H, Air India Rd, Indian Airlines Colony, Indian Airlines Staff Colony 2, Santacruz East, Mumbai, Maharashtra 400029, India"
W0520C182837,"Dear Respected ,\n\nPothole on Elphinstone bridge footpath -Mumbai unable to walk ,\n\nSome work has been done but incomplete work.\n\nRequest to you kindly Please resolve it .\n\nRegards,\nUmesh lad\n9619328191",3,0,2,953,15,66,22,"7/10/16 12:05","Pothole on Elphinstone bridge footpath -Mumbai","Balasheth Mandurkar Marg, Krishna Nagar, Parel, Mumbai, Maharashtra 400012, India"
W01050C182953,"This road (Chunnabhatti Road) leading towards S.V road and Milan Subway is in pathetic condition for many months. No repair work has been carried out by local authorities. The road is filled with potholes its\', almost undriveable. This road is a very important road as it connects the arterial roads of S.V road and Linking Road to the Milan Subway. There is a lot of traffic jam on this road just beacuse of the pathetic condition of the road. This road also helps in releiving the traffic on S.V road while going towards milan subway. I request you to help repair this road as soon as possible.",3,31,2,939,15,67,22,"7/10/16 18:18","The road is in pathetic condition!!!","Chunnabhatti Rd, Rizvi Nagar, Khira Nagar, Santacruz West, Mumbai, Maharashtra 400054, India"
